state,year,quarter,insurance_transactions,total_insurance_amount
karnataka,2023,3,139699.0,199448538.0
maharashtra,2023,3,104872.0,151171882.0
uttar pradesh,2023,3,78940.0,121483170.0
tamil nadu,2023,3,91069.0,114625593.0
kerala,2023,3,66059.0,110021582.0
telangana,2023,3,61523.0,84397465.0
west bengal,2023,3,58131.0,76359312.0
gujarat,2023,3,51049.0,65768085.0
delhi,2023,3,47113.0,58878500.0
andhra pradesh,2023,3,43150.0,57802396.0
karnataka,2023,4,156076.0,248056311.0
maharashtra,2023,4,136968.0,217657114.0
uttar pradesh,2023,4,92125.0,165509877.0
tamil nadu,2023,4,104871.0,139433796.0
kerala,2023,4,73543.0,121905046.0
telangana,2023,4,63993.0,105605522.0
west bengal,2023,4,72712.0,100365562.0
rajasthan,2023,4,49741.0,94701652.0
haryana,2023,4,47506.0,80747159.0
delhi,2023,4,56336.0,77332401.0
karnataka,2024,1,169357.0,264708700.0
maharashtra,2024,1,149016.0,224725389.0
uttar pradesh,2024,1,103701.0,176442664.0
tamil nadu,2024,1,111521.0,148976175.0
kerala,2024,1,73106.0,115101791.0
telangana,2024,1,67388.0,105607539.0
west bengal,2024,1,79576.0,104987909.0
rajasthan,2024,1,59127.0,102926410.0
delhi,2024,1,53050.0,76232346.0
bihar,2024,1,51592.0,63844442.0
karnataka,2024,2,142599.0,239304982.0
maharashtra,2024,2,118933.0,198945046.0
uttar pradesh,2024,2,92458.0,159894258.0
tamil nadu,2024,2,97348.0,135972378.0
kerala,2024,2,65271.0,108142369.0
telangana,2024,2,56941.0,96037304.0
rajasthan,2024,2,55241.0,95504657.0
west bengal,2024,2,67048.0,89476633.0
delhi,2024,2,46189.0,68046072.0
bihar,2024,2,49101.0,65285065.0
karnataka,2024,3,174990.0,287393291.0
maharashtra,2024,3,119776.0,201319952.0
tamil nadu,2024,3,116867.0,162128271.0
uttar pradesh,2024,3,92930.0,157303596.0
kerala,2024,3,79123.0,131721699.0
telangana,2024,3,64873.0,110715264.0
rajasthan,2024,3,64533.0,108827800.0
west bengal,2024,3,77158.0,107451766.0
haryana,2024,3,49735.0,79198642.0
delhi,2024,3,49150.0,71139489.0
karnataka,2024,4,183532.0,305861806.0
maharashtra,2024,4,168078.0,266942711.0
uttar pradesh,2024,4,116589.0,199179867.0
tamil nadu,2024,4,127002.0,173784251.0
kerala,2024,4,89533.0,144083113.0
rajasthan,2024,4,73530.0,127930986.0
telangana,2024,4,78498.0,124755619.0
west bengal,2024,4,91719.0,120602777.0
delhi,2024,4,67962.0,94390728.0
bihar,2024,4,62662.0,83739800.0
